block,name,status,n,mt_ok_raw,mt_nan_raw,mt_ok_pct,lb_legacy,track_legacy,track_s2,lb_estimate_s2,track_delta,contrib_pa,contrib_fl,contrib_mt,nan_after_s2,mt_median_s2,mt_std_s2,note
8,resnetv2_18,ok,309,309,0,100.0,1.84197,1.79415,0.62988,1.04366,-1.16426,0.047,0.3048,0.2541,0,21.15,2.47,
8,maxvit_nano,ok,309,309,0,100.0,1.82151,1.83283,0.65379,1.06757,-1.17904,0.047,0.3048,0.278,0,21.5,2.58,
7,convnext_tiny,ok,309,219,90,70.87,,,0.65507,1.06885,,0.047,0.3048,0.2793,0,21.5,2.4,71% mt_ok — rejected
7,efficientnet_b1,ok,309,309,0,100.0,1.88316,1.86843,0.66572,1.0795,-1.2027,0.047,0.3048,0.2899,0,21.4,2.93,
7,resnet18,ok,309,309,0,100.0,1.86662,1.88382,0.66786,1.08164,-1.21596,0.047,0.3048,0.2921,0,21.26,2.9,
7,regnetx_004,ok,309,309,0,100.0,1.87201,1.88336,0.67533,1.08911,-1.20803,0.047,0.3048,0.2996,0,21.5,2.96,
8,maxxvitv2_nano,ok,309,308,1,99.68,,,0.68203,1.09581,,0.047,0.3048,0.3063,0,21.84,2.83,99.7% mt_ok — not LB submitted
7,efficientnet_b0,ok,309,230,79,74.43,,,0.68628,1.10006,,0.047,0.3048,0.3105,0,21.5,2.82,74% mt_ok — rejected
7,mobilenetv3_small_100,ok,309,309,0,100.0,1.91682,1.95476,0.69136,1.10514,-1.2634,0.047,0.3048,0.3156,0,20.76,3.4,
8,levit128s,ok,309,309,0,100.0,1.91255,1.94519,0.69386,1.10764,-1.25133,0.047,0.311,0.3119,0,21.46,3.19,
8,efficientnetv2_rw_t,ok,309,309,0,100.0,1.98186,1.97304,0.71248,1.12626,-1.26056,0.047,0.3048,0.3367,0,21.7,3.31,
8,convnextv2_atto,ok,309,291,18,94.17,,,0.71395,1.12773,,0.047,0.3048,0.3382,0,21.99,3.05,94% mt_ok — not LB submitted
